onset	duration	sample	trial_type	stim_file	value	event_code
53222.993620	0.000000	1	"n/a"	"n/a"	8	"Key Press"
53216.636445	0.000000	0	"n/a"	"n/a"	32768	"Instructions"
53224.726221	2.007712	285664740	"speech"	"n/a"	1	"Fixation_Cross_Onset"
53226.756794	0.000000	285725670	"speech"	"Fluttering curtains revealed glimpses of the mysterious neighbor's activities. Scrambling students struggled with difficult calculus problems before examinations."	32770	"Visual Onset"
53234.004003	0.000000	285943080	"speech"	"n/a"	4	"DAF_Off"
53234.020824	0.000000	285943590	"speech"	"n/a"	32770	"Visual_Off"
53240.072011	0.000000	286125180	"n/a"	"n/a"	32777	"Key Press"
53240.091028	1.995891	286125690	"speech"	"n/a"	1	"Fixation_Cross_Onset"
53242.113372	0.000000	286186350	"speech"	"Spinning wheels created intricate patterns on expensive Persian carpets. Happy hunters hurried through thick underbrush seeking elusive deer."	32770	"Visual Onset"
53249.363748	0.000000	286403850	"speech"	"n/a"	4	"DAF_Off"
53249.379144	0.000000	286404330	"speech"	"n/a"	32770	"Visual_Off"
53251.049067	0.000000	286454400	"n/a"	"n/a"	32777	"Key Press"
53251.050589	0.000000	286454460	"n/a"	"n/a"	32784	"Escape"
