cc_val	delay_ms
0	0
1	1
2	2
3	4
4	6
5	7
6	9
7	10
8	12
9	14
10	15
11	17
12	19
13	20
14	22
15	24
16	25
17	27
18	29
19	30
20	32
21	33
22	35
23	37
24	38
25	40
26	42
27	43
28	45
29	47
30	48
31	50
32	52
33	53
34	55
35	57
36	58
37	60
38	62
39	63
40	65
41	67
42	68
43	70
44	72
45	73
46	75
47	77
48	78
49	80
50	82
51	83
52	85
53	87
54	88
55	90
56	92
57	94
58	95
59	97
60	99
61	102
62	106
63	109
64	112
65	116
66	119
67	123
68	126
69	129
70	133
71	136
72	139
73	143
74	146
75	149
76	153
77	156
78	159
79	163
80	166
81	169
82	173
83	176
84	179
85	183
86	186
87	190
88	193
89	196
90	201
91	208
92	215
93	221
94	228
95	235
96	241
97	248
98	255
99	262
100	268
101	275
102	282
103	288
104	295
105	302
106	308
107	315
108	322
109	329
110	335
111	342
112	349
113	355
114	362
115	369
116	375
117	382
118	389
119	396
120	407
121	420
122	433
123	447
124	460
125	474
126	487
127	500
