onset	duration	sample	trial_type	stim_file	value	event_code
59410.335359	0.000000	0	"control"	"n/a"	32776	"Key_Space"
59410.343215	0.000000	0	"n/a"	"n/a"	0	"Instructions_End"
59410.415240	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
59410.417732	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=100)"
59412.596378	0.000000	0	"speech"	"Bumbling bees buzzed between beautiful roses and thorny brambles. Friendly neighbors fought fierce arguments over backyard fence boundaries."	32770	"Visual Onset"
59410.439427	0.000000	0	"engine"	"START"	4	"DAF_Engine_Applied"
59422.611172	0.000000	0	"speech"	"n/a"	32772	"DAF_Off_cmd"
59422.619661	0.000000	0	"speech"	"n/a"	2	"Visual Off"
59422.652354	0.000000	0	"speech"	"n/a"	32769	"Fixation_Cross_Onset"
59422.655159	0.000000	0	"speech"	"n/a"	4	"DAF_On_cmd(ms=0)"
59422.627058	0.000000	0	"engine"	"STOP"	32772	"DAF_Engine_Applied"
59424.833543	0.000000	0	"speech"	"Whistling winds whipped through weathered shutters during stormy nights. Curious cats carefully climbed over slippery ceramic roof tiles."	2	"Visual Onset"
59422.670533	0.000000	0	"engine"	"START"	32772	"DAF_Engine_Applied"
