t_send_getsecs	command	arg1	arg2	retries	message
0.115315	PROGRAMCHANGE	1		0	sendMidiCommand
1.162734	PROGRAMCHANGE	1		0	sendMidiCommand
1.163856	PROGRAMCHANGE	1		0	sendMidiCommand
15.279658	PROGRAMCHANGE	1		0	sendMidiCommand
15.318105	PROGRAMCHANGE	2		0	sendMidiCommand
15.319503	PROGRAMCHANGE	1		0	sendMidiCommand
29.481902	PROGRAMCHANGE	1		0	sendMidiCommand
29.515762	PROGRAMCHANGE	1		0	sendMidiCommand
29.517037	PROGRAMCHANGE	1		0	sendMidiCommand
42.712222	PROGRAMCHANGE	1		0	sendMidiCommand
42.750042	PROGRAMCHANGE	2		0	sendMidiCommand
42.751180	PROGRAMCHANGE	1		0	sendMidiCommand
59.103555	PROGRAMCHANGE	1		0	sendMidiCommand
59.136012	PROGRAMCHANGE	2		0	sendMidiCommand
59.137154	PROGRAMCHANGE	1		0	sendMidiCommand
72.254399	PROGRAMCHANGE	1		0	sendMidiCommand
72.285626	PROGRAMCHANGE	1		0	sendMidiCommand
72.286828	PROGRAMCHANGE	1		0	sendMidiCommand
84.893403	PROGRAMCHANGE	1		0	sendMidiCommand
84.926872	PROGRAMCHANGE	1		0	sendMidiCommand
84.942488	PROGRAMCHANGE	1		0	sendMidiCommand
97.601046	PROGRAMCHANGE	1		0	sendMidiCommand
97.636162	PROGRAMCHANGE	2		0	sendMidiCommand
97.637259	PROGRAMCHANGE	1		0	sendMidiCommand
113.247336	PROGRAMCHANGE	1		0	sendMidiCommand
113.280194	PROGRAMCHANGE	1		0	sendMidiCommand
113.281317	PROGRAMCHANGE	1		0	sendMidiCommand
132.730708	PROGRAMCHANGE	1		0	sendMidiCommand
132.758280	PROGRAMCHANGE	1		0	sendMidiCommand
132.759356	PROGRAMCHANGE	1		0	sendMidiCommand
148.063948	PROGRAMCHANGE	1		0	sendMidiCommand
148.094005	PROGRAMCHANGE	2		0	sendMidiCommand
148.095246	PROGRAMCHANGE	1		0	sendMidiCommand
162.915380	PROGRAMCHANGE	1		0	sendMidiCommand
162.938353	PROGRAMCHANGE	1		0	sendMidiCommand
162.939560	PROGRAMCHANGE	1		0	sendMidiCommand
175.561105	PROGRAMCHANGE	1		0	sendMidiCommand
175.590099	PROGRAMCHANGE	2		0	sendMidiCommand
175.591224	PROGRAMCHANGE	1		0	sendMidiCommand
198.221788	PROGRAMCHANGE	1		0	sendMidiCommand
198.245724	PROGRAMCHANGE	1		0	sendMidiCommand
198.246744	PROGRAMCHANGE	1		0	sendMidiCommand
